# i_rad	L_edd
4.904375198104066191e-01 5.052287224660659604e+00
4.913101844364037851e-01 5.027388569115366579e+00
4.921828490624009511e-01 5.002594615480687956e+00
4.930555136883981171e-01 4.977905688541012452e+00
4.939281783143952831e-01 4.953322113080725231e+00
4.948008429403924491e-01 4.928844213884212344e+00
4.956735075663896151e-01 4.904472315735858956e+00
4.965461721923867811e-01 4.880206743420053783e+00
4.974188368183839470e-01 4.856047821721181101e+00
4.982915014443811130e-01 4.831995875423628739e+00
4.991641660703782790e-01 4.808051229311780084e+00
5.000368306963753895e-01 4.784214208170026517e+00
5.009094953223726110e-01 4.760485136782747873e+00
5.017821599483697215e-01 4.736864339934335533e+00
5.026548245743669430e-01 4.713352142409171108e+00
5.035274892003640534e-01 4.689948868991647757e+00
5.044001538263612749e-01 4.666654844466143537e+00
5.052728184523583854e-01 4.643470393617050718e+00
5.061454830783556069e-01 4.620395841228752687e+00
